"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"140",3.30710548177182e-65,1.48284604504311,0.863,0.344,2.98598553949177e-61,"5","KLRG1",89.7491268303452
"141",4.57033212694277e-37,2.76422133590945,0.321,0.088,4.12655287741662e-33,"5","RHOB",89.5176842197169
"142",2.79887248245004e-63,1.45384447784084,0.695,0.215,2.52710196440414e-59,"5","MATK",85.1914733085656
"143",2.08105659098564e-47,1.97791796783315,0.337,0.073,1.87898599600094e-43,"5","PTMS",84.5086743186505
"144",3.18090642147499e-54,1.34694120155903,0.787,0.333,2.87204040794976e-50,"5","MTRNR2L12",66.729904353533
"145",1.86362101608658e-41,1.81162955924443,0.329,0.078,1.68266341542457e-37,"5","BHLHE40",66.6208703893362
"146",6.04582153826365e-48,1.52338482600591,0.839,0.411,5.45877226689825e-44,"5","CD69",65.9060530417877
"147",9.1078053021152e-40,1.78066207370964,0.671,0.3,8.22343740727981e-36,"5","NFKBIA",62.4744337845307
"148",1.08128549818784e-40,1.70233958940641,0.402,0.112,9.76292676313797e-37,"5","RGS2",61.3019635436116
"149",7.85476924463865e-46,1.39140463421629,0.635,0.237,7.09207115098424e-42,"5","DDIT4",57.2552250253449
"150",5.3751962500012e-37,1.69111959745192,0.349,0.093,4.85326469412609e-33,"5","ADRB2",54.6467812109967
"151",0,10.2888876650676,0.569,0,2.2250738585072e-308,"6","RBP7",3165.40361300494
"152",0,9.35951307233318,0.5,0,2.2250738585072e-308,"6","PYGL",2879.47905153222
"153",0,8.48916506958695,0.454,0.001,2.2250738585072e-308,"6","CD163",2611.71417721853
"154",0,8.33369991569376,0.716,0.004,2.2250738585072e-308,"6","S100A12",2563.88490977491
"155",0,8.054619912729,0.495,0.001,2.2250738585072e-308,"6","CLEC4E",2478.02520574671
"156",0,8.02172207607164,0.477,0.002,2.2250738585072e-308,"6","CYP1B1",2467.90409893661
"157",0,7.98432065363099,0.569,0.001,2.2250738585072e-308,"6","TMEM176B",2456.3974520007
"158",0,7.96452021474438,0.573,0.001,2.2250738585072e-308,"6","P2RY13",2450.30579439582
"159",0,7.92537820039559,0.5,0.001,2.2250738585072e-308,"6","CSF1R",2438.2636497371
"160",0,7.92163448889701,0.537,0.001,2.2250738585072e-308,"6","NFAM1",2437.11188695289
"161",0,7.90691138840305,0.986,0.077,2.2250738585072e-308,"6","S100A9",2432.58228598772
"162",0,7.89592276507561,0.514,0,2.2250738585072e-308,"6","HNMT",2429.20160683999
"163",0,7.8945724512455,0.853,0.003,2.2250738585072e-308,"6","CPVL",2428.7861792043
"164",0,7.84006735651317,0.936,0.003,2.2250738585072e-308,"6","SERPINA1",2412.01754206788
"165",0,7.81198772721485,0.991,0.064,2.2250738585072e-308,"6","LYZ",2403.37876954687
"166",0,7.80447539203354,0.592,0.001,2.2250738585072e-308,"6","MAFB",2401.06757967882
"167",0,7.7835727473208,0.5,0.001,2.2250738585072e-308,"6","SLC8A1",2394.63682552454
"168",0,7.74373113473821,0.477,0.001,2.2250738585072e-308,"6","CREB5",2382.37944761137
"169",0,7.73387540573629,0.784,0.003,2.2250738585072e-308,"6","KLF4",2379.34730641137
"170",0,7.72853856280903,0.959,0.014,2.2250738585072e-308,"6","FCN1",2377.70541251244
"171",0,7.71076159455575,0.569,0.002,2.2250738585072e-308,"6","LGALS2",2372.23628102136
"172",0,7.69595253997004,0.771,0.002,2.2250738585072e-308,"6","PLBD1",2367.68023605161
"173",0,7.66398974966332,0.564,0.002,2.2250738585072e-308,"6","ZNF385A",2357.84679873436
"174",0,7.57377764569948,0.482,0.001,2.2250738585072e-308,"6","SLC24A4",2330.09280538546
"175",0,7.56635303336185,0.908,0.046,2.2250738585072e-308,"6","S100A8",2327.80860368322
"176",0,6.10921453112428,0.623,0.019,2.2250738585072e-308,"7","NR4A1",1879.5160739386
"177",0,5.87162632541931,0.91,0.032,2.2250738585072e-308,"7","HSPA1B",1806.42143152169
"178",6.59382508105674e-281,5.57715098692103,0.528,0.024,5.95356466568613e-277,"7","EGR1",1540.54977464778
"179",2.107932555702e-210,5.30928074848231,0.809,0.114,1.90325230454333e-206,"7","HSPA1A",1092.22790952095
"180",3.83958874303719e-152,5.7948309370841,0.327,0.018,3.46676467608827e-148,"7","HSPA6",854.506208287458
"181",1.33269971336945e-189,4.41060086641209,0.437,0.026,1.20329457120128e-185,"7","DNAJB4",815.606671661569
"182",2.12853490612585e-145,3.94645325744284,0.975,0.344,1.92185416674103e-141,"7","DNAJB1",555.330219885655
"183",1.16717873347538e-107,3.98818587604533,0.307,0.024,1.05384567845492e-103,"7","AREG",410.692306247439
"184",1.64948387822068e-107,3.87416041608377,0.352,0.032,1.48931899364546e-103,"7","SGK1",398.368340647552
"185",1.14981939820921e-111,3.61426732034945,0.543,0.082,1.0381719346431e-107,"7","RHOB",386.667801735079
"186",9.3546216750995e-113,3.13297460578214,0.653,0.117,8.44628791044734e-109,"7","MTRNR2L8",338.591011356311
"187",5.10576047117806e-84,4.02599227452999,0.302,0.031,4.60999112942667e-80,"7","TNF",319.407330528589
"188",4.72002830795583e-109,2.88086851981129,0.985,0.531,4.26171355925332e-105,"7","JUN",300.677445115618
"189",2.2507944212484e-95,3.21070086982483,0.482,0.072,2.03224228294518e-91,"7","DDIT3",291.184962002659
"190",4.21960204958207e-110,2.59199548288084,0.985,0.33,3.80987869056765e-106,"7","MTRNR2L12",273.245802114758
"191",6.66173236324853e-96,2.72523549344485,0.864,0.311,6.0148781507771e-92,"7","BTG2",248.5980887719
"192",2.77030180064918e-83,3.03299915057542,0.598,0.132,2.50130549580614e-79,"7","HSPH1",238.399293519353
"193",7.9506051899295e-84,2.91060230859061,0.432,0.064,7.17860142598735e-80,"7","SERTAD1",230.356593150138
"194",2.6472914623617e-71,3.3137116398763,0.307,0.037,2.39023946136637e-67,"7","ID3",220.764634159581
"195",7.62710100946581e-89,2.61807966928101,0.925,0.439,6.88650950144668e-85,"7","HSPE1",220.342823348709
"196",7.74057608073423e-98,2.36193133726837,0.985,0.648,6.98896614329494e-94,"7","JUND",220.027100326623
